cycle,seed,t_quit,t_launch,pid_before,pid_after,gap_s,per_board_json,reconnected_boards,reconnect_ms,verdict
1,2026091501,1789284511.929,1789284514.257,1737,1759,2.06,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789284515.265, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 1008}",PASS
2,2026091501,1789284545.274,1789284547.065,1759,1761,1.54,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789284547.991, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 926}",PASS
3,2026091501,1789284578.059,1789284582.294,1761,1763,3.97,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789284583.375, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 1081}",PASS
1,2026091502,1789284976.444,1789284978.258,1763,1768,1.55,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789284979.174, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 916}",PASS
2,2026091502,1789285009.291,1789285013.162,1768,1770,3.59,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789285014.126, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 964}",PASS
3,2026091502,1789285044.154,1789285048.077,1770,1772,3.64,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789285048.91, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 833}",PASS
1,2026091503,1789285442.292,1789285445.241,1772,1780,2.70,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789285446.11, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 869}",PASS
2,2026091503,1789285476.176,1789285479.723,1780,1782,3.32,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789285480.859, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 1136}",PASS
3,2026091503,1789285510.722,1789285514.288,1782,1784,3.33,"{""A"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789285515.265, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}}",A,"{""A"": 977}",PASS
