cycle,seed,t_quit,t_launch,pid_before,pid_after,gap_s,per_board_json,reconnected_boards,reconnect_ms,verdict
1,20260916,1789301665.341,1789301668.779,1784,2043,2.99,"{""A"": {""disconnect"": 1, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789301670.275, ""port_issue"": 0}}",B,"{""B"": 1496}",PASS
2,20260916,1789301700.100,1789301703.404,2043,2047,3.05,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789301704.47, ""port_issue"": 0}}",B,"{""B"": 1066}",PASS
3,20260916,1789301734.392,1789301738.480,2047,2050,3.83,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789301739.484, ""port_issue"": 0}}",B,"{""B"": 1004}",PASS
