cycle,seed,t_quit,t_launch,pid_before,pid_after,gap_s,per_board_json,reconnected_boards,reconnect_ms,verdict
1,20260913,1789282062.500,1789282063.790,,,1.29,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 3, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot"": 3, ""first_connect"": 1789282064.701, ""port_issue"": 0}}",B,"{""B"": 911}",APP_DEAD
2,20260913,1789282094.938,1789282098.652,,,3.71,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 4, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 4, ""first_connect"": null, ""port_issue"": 0}}",,{},APP_DEAD
3,20260913,1789282129.752,1789282131.322,,,1.57,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 3, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 3, ""first_connect"": null, ""port_issue"": 0}}",,{},APP_DEAD
