cycle,seed,pid_before,kill_rc,disconnect_s,dwell_s,launch_rc,connect_s,subscribed_s,first_rx_s,status,anomalies,launch_err
0,20260912,,,,0.0,0,1.0324161052703857,0.9315829277038574,0.10463428497314453,PASS,,
1,20260912,1102,0,0.10046887397766113,3.0,0,0.7276620864868164,0.7265942096710205,0.10124707221984863,PASS,,
2,20260912,1104,0,0.20557904243469238,1.0,0,0.7233090400695801,0.8290879726409912,0.1016383171081543,PASS,,
3,20260912,1106,0,0.10120868682861328,0.2,0,1.0264458656311035,0.9280490875244141,0.10521388053894043,PASS,,
4,20260912,1108,0,0.10411906242370605,0.0,0,0.7299909591674805,0.8232786655426025,0.10836195945739746,PASS,,
5,20260912,1110,0,0.10307908058166504,0.0,0,0.7253050804138184,0.9333951473236084,0.10466718673706055,PASS,,
6,20260912,1114,0,0.10319113731384277,2.0,0,0.6200520992279053,0.8227770328521729,0.2072458267211914,PASS,,
7,20260912,1116,0,0.20374703407287598,3.0,0,0.5194692611694336,0.9297008514404297,0.10369062423706055,PASS,,
8,20260912,1118,0,0.1051778793334961,2.0,0,0.6146790981292725,0.8334298133850098,0.20793390274047852,PASS,,
9,20260912,1121,0,0.20797419548034668,3.0,0,0.6159727573394775,0.9261908531188965,0.10520505905151367,PASS,,
10,20260912,1123,0,0.20599603652954102,2.0,0,0.5158767700195312,0.9355649948120117,0.10372090339660645,PASS,,
11,20260912,1130,0,0.10236096382141113,1.0,0,0.6171479225158691,0.9331309795379639,0.10570979118347168,PASS,,
12,20260912,1153,0,0.10280799865722656,0.0,0,0.6195201873779297,0.9345438480377197,0.10263395309448242,PASS,,
13,20260912,1170,0,0.20904994010925293,0.2,0,0.6214730739593506,0.9313578605651855,0.20697402954101562,PASS,,
14,20260912,1172,0,0.10134696960449219,3.0,0,0.5179951190948486,0.9317560195922852,0.20810508728027344,PASS,,
15,20260912,1174,0,0.10515213012695312,0.0,0,0.6200850009918213,0.9358081817626953,0.10072207450866699,PASS,,
16,20260912,1176,0,0.1044769287109375,1.0,0,0.6283831596374512,0.835029125213623,0.2059173583984375,PASS,,
17,20260912,1178,0,0.21036815643310547,1.0,0,0.6216428279876709,0.9267489910125732,0.10494780540466309,PASS,,
18,20260912,1180,0,0.20459318161010742,2.0,0,0.6233017444610596,0.8269109725952148,0.10264396667480469,PASS,,
19,20260912,1182,0,0.1051640510559082,3.0,0,0.7206599712371826,0.9313247203826904,0.10514187812805176,PASS,,
20,20260912,1185,0,0.10128092765808105,2.0,0,0.7223420143127441,0.8189969062805176,0.10242080688476562,PASS,,
21,20260912,1187,0,0.10239386558532715,0.0,0,0.9272458553314209,0.8251039981842041,0.20527386665344238,PASS,,
22,20260912,1189,0,0.10491490364074707,3.0,0,0.6193270683288574,0.831535816192627,0.20758724212646484,PASS,,
23,20260912,1191,0,0.20690703392028809,2.0,0,0.6135978698730469,0.9320030212402344,0.10489821434020996,PASS,,
24,20260912,1193,0,0.10149669647216797,0.0,0,0.5161511898040771,0.9355158805847168,0.10369610786437988,PASS,,
