t0_ms,t1_ms,dt_ms,idx0,idx1,count,advance,fps,excluded
5063754,5064754,1000,30,40,325,10,10.0,0
5064754,5065754,1000,40,50,325,10,10.0,0
5065754,5066754,1000,50,60,325,10,10.0,0
5066754,5067754,1000,60,70,325,10,10.0,0
5067754,5068754,1000,70,80,325,10,10.0,0
5068754,5069754,1000,80,90,325,10,10.0,0
5069754,5070754,1000,90,100,325,10,10.0,0
5070754,5071754,1000,100,110,325,10,10.0,0
5071754,5072754,1000,110,120,325,10,10.0,0
5072754,5073754,1000,120,130,325,10,10.0,0
5073754,5074754,1000,130,140,325,10,10.0,0
5074754,5075754,1000,140,150,325,10,10.0,0
5075754,5076754,1000,150,160,325,10,10.0,0
5076754,5077754,1000,160,170,325,10,10.0,0
5077754,5078754,1000,170,180,325,10,10.0,0
5078754,5079754,1000,180,190,325,10,10.0,0
5079754,5080754,1000,190,200,325,10,10.0,0
5080754,5081754,1000,200,210,325,10,10.0,0
5081754,5082754,1000,210,220,325,10,10.0,0
5082754,5083754,1000,220,230,325,10,10.0,0
5083754,5084754,1000,230,240,325,10,10.0,0
5084754,5085754,1000,240,250,325,10,10.0,0
5085754,5086754,1000,250,260,325,10,10.0,0
5086754,5087754,1000,260,270,325,10,10.0,0
5087754,5088754,1000,270,280,325,10,10.0,0
5088754,5089754,1000,280,290,325,10,10.0,0
5089754,5090754,1000,290,300,325,10,10.0,0
5090754,5091754,1000,300,310,325,10,10.0,0
5091754,5092754,1000,310,320,325,10,10.0,0
5092754,5093754,1000,320,5,325,10,10.0,0
5093754,5094754,1000,5,15,325,10,10.0,0
5094754,5095754,1000,15,25,325,10,10.0,0
5095754,5096754,1000,25,35,325,10,10.0,0
5096754,5097754,1000,35,45,325,10,10.0,0
5097754,5098754,1000,45,55,325,10,10.0,0
5098754,5099754,1000,55,65,325,10,10.0,0
5099754,5100754,1000,65,75,325,10,10.0,0
5100754,5101754,1000,75,85,325,10,10.0,0
5101754,5102754,1000,85,95,325,10,10.0,0
5102754,5103754,1000,95,105,325,10,10.0,0
5103754,5104754,1000,105,115,325,10,10.0,0
5104754,5105754,1000,115,125,325,10,10.0,0
5105754,5106754,1000,125,135,325,10,10.0,0
5106754,5107754,1000,135,145,325,10,10.0,0
5107754,5108754,1000,145,155,325,10,10.0,0
5108754,5109754,1000,155,165,325,10,10.0,0
5109754,5110754,1000,165,175,325,10,10.0,0
5110754,5111754,1000,175,185,325,10,10.0,0
5111754,5112754,1000,185,195,325,10,10.0,0
5112754,5113754,1000,195,205,325,10,10.0,0
5113754,5114754,1000,205,215,325,10,10.0,0
5114754,5115754,1000,215,225,325,10,10.0,0
5115754,5116754,1000,225,235,325,10,10.0,0
5116754,5117754,1000,235,245,325,10,10.0,0
5117754,5118754,1000,245,255,325,10,10.0,0
5118754,5119754,1000,255,265,325,10,10.0,0
5119754,5120754,1000,265,275,325,10,10.0,0
5120754,5121754,1000,275,285,325,10,10.0,0
5121754,5122754,1000,285,295,325,10,10.0,0
5122754,5123754,1000,295,305,325,10,10.0,0
5123754,5124754,1000,305,315,325,10,10.0,0
5124754,5125754,1000,315,0,325,10,10.0,0
5125754,5126754,1000,0,10,325,10,10.0,0
5126754,5127754,1000,10,20,325,10,10.0,0
5127754,5128754,1000,20,30,325,10,10.0,0
5128754,5129754,1000,30,40,325,10,10.0,0
5129754,5130754,1000,40,50,325,10,10.0,0
5130754,5131754,1000,50,60,325,10,10.0,0
5131754,5132754,1000,60,70,325,10,10.0,0
5132754,5133754,1000,70,80,325,10,10.0,0
5133754,5134754,1000,80,90,325,10,10.0,0
5134754,5135754,1000,90,100,325,10,10.0,0
5135754,5136754,1000,100,110,325,10,10.0,0
5136754,5137754,1000,110,120,325,10,10.0,0
5137754,5138754,1000,120,130,325,10,10.0,0
5138754,5139754,1000,130,140,325,10,10.0,0
5139754,5140754,1000,140,150,325,10,10.0,0
5140754,5141754,1000,150,160,325,10,10.0,0
5141754,5142754,1000,160,170,325,10,10.0,0
5142754,5143754,1000,170,180,325,10,10.0,0
5143754,5144754,1000,180,190,325,10,10.0,0
5144754,5145754,1000,190,200,325,10,10.0,0
5145754,5146754,1000,200,210,325,10,10.0,0
5146754,5147754,1000,210,220,325,10,10.0,0
5147754,5148754,1000,220,230,325,10,10.0,0
5148754,5149754,1000,230,240,325,10,10.0,0
5149754,5150754,1000,240,250,325,10,10.0,0
5150754,5151754,1000,250,260,325,10,10.0,0
5151754,5152754,1000,260,270,325,10,10.0,0
5152754,5153754,1000,270,280,325,10,10.0,0
5153754,5154754,1000,280,290,325,10,10.0,0
5154754,5155754,1000,290,300,325,10,10.0,0
5155754,5156754,1000,300,310,325,10,10.0,0
5156754,5157754,1000,310,320,325,10,10.0,0
5157754,5158754,1000,320,5,325,10,10.0,0
5158754,5159754,1000,5,15,325,10,10.0,0
5159754,5160754,1000,15,25,325,10,10.0,0
5160754,5161754,1000,25,35,325,10,10.0,0
5161754,5162754,1000,35,45,325,10,10.0,0
5162754,5163754,1000,45,55,325,10,10.0,0
5163754,5164754,1000,55,65,325,10,10.0,0
5164754,5165754,1000,65,75,325,10,10.0,0
5165754,5166754,1000,75,85,325,10,10.0,0
5166754,5167754,1000,85,95,325,10,10.0,0
5167754,5168754,1000,95,105,325,10,10.0,0
5168754,5169754,1000,105,115,325,10,10.0,0
5169754,5170754,1000,115,125,325,10,10.0,0
5170754,5171754,1000,125,135,325,10,10.0,0
5171754,5172754,1000,135,145,325,10,10.0,0
5172754,5173754,1000,145,155,325,10,10.0,0
5173754,5174754,1000,155,165,325,10,10.0,0
5174754,5175754,1000,165,175,325,10,10.0,0
5175754,5176754,1000,175,185,325,10,10.0,0
5176754,5177754,1000,185,195,325,10,10.0,0
5177754,5178754,1000,195,205,325,10,10.0,0
5178754,5179754,1000,205,215,325,10,10.0,0
5179754,5180754,1000,215,225,325,10,10.0,0
5180754,5181754,1000,225,235,325,10,10.0,0
5181754,5182754,1000,235,245,325,10,10.0,0
5182754,5183754,1000,245,255,325,10,10.0,0
5183754,5184754,1000,255,265,325,10,10.0,0
5184754,5185754,1000,265,275,325,10,10.0,0
5185754,5186754,1000,275,285,325,10,10.0,0
5186754,5187754,1000,285,295,325,10,10.0,0
5187754,5188754,1000,295,305,325,10,10.0,0
5188754,5189754,1000,305,315,325,10,10.0,0
5189754,5190754,1000,315,0,325,10,10.0,0
5190754,5191754,1000,0,10,325,10,10.0,0
5191754,5192754,1000,10,20,325,10,10.0,0
5192754,5193754,1000,20,30,325,10,10.0,0
5193754,5194754,1000,30,40,325,10,10.0,0
5194754,5195754,1000,40,50,325,10,10.0,0
5195754,5196754,1000,50,60,325,10,10.0,0
5196754,5197754,1000,60,70,325,10,10.0,0
5197754,5198754,1000,70,80,325,10,10.0,0
5198754,5199754,1000,80,90,325,10,10.0,0
5199754,5200754,1000,90,100,325,10,10.0,0
5200754,5201754,1000,100,110,325,10,10.0,0
5201754,5202754,1000,110,120,325,10,10.0,0
5202754,5203754,1000,120,130,325,10,10.0,0
5203754,5204754,1000,130,140,325,10,10.0,0
5204754,5205754,1000,140,150,325,10,10.0,0
5205754,5206754,1000,150,160,325,10,10.0,0
5206754,5207754,1000,160,170,325,10,10.0,0
5207754,5208754,1000,170,180,325,10,10.0,0
5208754,5209754,1000,180,190,325,10,10.0,0
5209754,5210754,1000,190,200,325,10,10.0,0
5210754,5211754,1000,200,210,325,10,10.0,0
5211754,5212754,1000,210,220,325,10,10.0,0
5212754,5213754,1000,220,230,325,10,10.0,0
5213754,5214754,1000,230,240,325,10,10.0,0
5214754,5215754,1000,240,250,325,10,10.0,0
5215754,5216754,1000,250,260,325,10,10.0,0
5216754,5217754,1000,260,270,325,10,10.0,0
5217754,5218754,1000,270,280,325,10,10.0,0
5218754,5219754,1000,280,290,325,10,10.0,0
5219754,5220754,1000,290,300,325,10,10.0,0
5220754,5221754,1000,300,310,325,10,10.0,0
5221754,5222754,1000,310,320,325,10,10.0,0
5222754,5223754,1000,320,5,325,10,10.0,0
5223754,5224754,1000,5,15,325,10,10.0,0
5224754,5225754,1000,15,25,325,10,10.0,0
5225754,5226754,1000,25,35,325,10,10.0,0
5226754,5227754,1000,35,45,325,10,10.0,0
5227754,5228754,1000,45,55,325,10,10.0,0
5228754,5229754,1000,55,65,325,10,10.0,0
5229754,5230754,1000,65,75,325,10,10.0,0
5230754,5231754,1000,75,85,325,10,10.0,0
5231754,5232754,1000,85,95,325,10,10.0,0
5232754,5233754,1000,95,105,325,10,10.0,0
5233754,5234754,1000,105,115,325,10,10.0,0
5234754,5235754,1000,115,125,325,10,10.0,0
5235754,5236754,1000,125,135,325,10,10.0,0
5236754,5237754,1000,135,145,325,10,10.0,0
5237754,5238754,1000,145,155,325,10,10.0,0
5238754,5239754,1000,155,165,325,10,10.0,0
5239754,5240754,1000,165,175,325,10,10.0,0
5240754,5241754,1000,175,185,325,10,10.0,0
5241754,5242754,1000,185,195,325,10,10.0,0
5242754,5243754,1000,195,205,325,10,10.0,0
5243754,5244754,1000,205,215,325,10,10.0,0
5244754,5245754,1000,215,225,325,10,10.0,0
5245754,5246754,1000,225,235,325,10,10.0,0
5246754,5247754,1000,235,245,325,10,10.0,0
5247754,5248754,1000,245,255,325,10,10.0,0
5248754,5249754,1000,255,265,325,10,10.0,0
5249754,5250754,1000,265,275,325,10,10.0,0
5250754,5251754,1000,275,285,325,10,10.0,0
5251754,5252754,1000,285,295,325,10,10.0,0
5252754,5253754,1000,295,305,325,10,10.0,0
5253754,5254754,1000,305,315,325,10,10.0,0
5254754,5255754,1000,315,0,325,10,10.0,0
5255754,5256754,1000,0,10,325,10,10.0,0
5256754,5257754,1000,10,20,325,10,10.0,0
5257754,5258754,1000,20,30,325,10,10.0,0
5258754,5259754,1000,30,40,325,10,10.0,0
5259754,5260754,1000,40,50,325,10,10.0,0
5260754,5261754,1000,50,60,325,10,10.0,0
5261754,5262754,1000,60,70,325,10,10.0,0
5262754,5263754,1000,70,80,325,10,10.0,0
5263754,5264754,1000,80,90,325,10,10.0,0
5264754,5265754,1000,90,100,325,10,10.0,0
5265754,5266754,1000,100,110,325,10,10.0,0
5266754,5267754,1000,110,120,325,10,10.0,0
5267754,5268754,1000,120,130,325,10,10.0,0
5268754,5269754,1000,130,140,325,10,10.0,0
5269754,5270754,1000,140,150,325,10,10.0,0
5270754,5271754,1000,150,160,325,10,10.0,0
5271754,5272754,1000,160,170,325,10,10.0,0
5272754,5273754,1000,170,180,325,10,10.0,0
5273754,5274754,1000,180,190,325,10,10.0,0
5274754,5275754,1000,190,200,325,10,10.0,0
5275754,5276754,1000,200,210,325,10,10.0,0
5276754,5277754,1000,210,220,325,10,10.0,0
5277754,5278754,1000,220,230,325,10,10.0,0
5278754,5279754,1000,230,240,325,10,10.0,0
5279754,5280754,1000,240,250,325,10,10.0,0
5280754,5281754,1000,250,260,325,10,10.0,0
5281754,5282754,1000,260,270,325,10,10.0,0
5282754,5283754,1000,270,280,325,10,10.0,0
5283754,5284754,1000,280,290,325,10,10.0,0
5284754,5285754,1000,290,300,325,10,10.0,0
5285754,5286754,1000,300,310,325,10,10.0,0
5286754,5287754,1000,310,320,325,10,10.0,0
5287754,5288754,1000,320,5,325,10,10.0,0
5288754,5289754,1000,5,15,325,10,10.0,0
5289754,5290754,1000,15,25,325,10,10.0,0
5290754,5291754,1000,25,35,325,10,10.0,0
5291754,5292754,1000,35,45,325,10,10.0,0
5292754,5293754,1000,45,55,325,10,10.0,0
5293754,5294754,1000,55,65,325,10,10.0,0
5294754,5295754,1000,65,75,325,10,10.0,0
5295754,5296754,1000,75,85,325,10,10.0,0
5296754,5297754,1000,85,95,325,10,10.0,0
5297754,5298754,1000,95,105,325,10,10.0,0
5298754,5299754,1000,105,115,325,10,10.0,0
5299754,5300754,1000,115,125,325,10,10.0,0
5300754,5301754,1000,125,135,325,10,10.0,0
5301754,5302754,1000,135,145,325,10,10.0,0
5302754,5303754,1000,145,155,325,10,10.0,0
5303754,5304754,1000,155,165,325,10,10.0,0
5304754,5305754,1000,165,175,325,10,10.0,0
5305754,5306754,1000,175,185,325,10,10.0,0
5306754,5307754,1000,185,195,325,10,10.0,0
5307754,5308754,1000,195,205,325,10,10.0,0
5308754,5309754,1000,205,215,325,10,10.0,0
5309754,5310754,1000,215,225,325,10,10.0,0
5310754,5311754,1000,225,235,325,10,10.0,0
5311754,5312754,1000,235,245,325,10,10.0,0
5312754,5313754,1000,245,255,325,10,10.0,0
5313754,5314754,1000,255,265,325,10,10.0,0
5314754,5315754,1000,265,275,325,10,10.0,0
5315754,5316754,1000,275,285,325,10,10.0,0
5316754,5317754,1000,285,295,325,10,10.0,0
5317754,5318754,1000,295,305,325,10,10.0,0
5318754,5319754,1000,305,315,325,10,10.0,0
5319754,5320754,1000,315,0,325,10,10.0,0
5320754,5321754,1000,0,10,325,10,10.0,0
5321754,5322754,1000,10,20,325,10,10.0,0
5322754,5323754,1000,20,30,325,10,10.0,0
5323754,5324754,1000,30,40,325,10,10.0,0
5324754,5325754,1000,40,50,325,10,10.0,0
5325754,5326754,1000,50,60,325,10,10.0,0
5326754,5327754,1000,60,70,325,10,10.0,0
5327754,5328754,1000,70,80,325,10,10.0,0
5328754,5329754,1000,80,90,325,10,10.0,0
5329754,5330754,1000,90,100,325,10,10.0,0
5330754,5331754,1000,100,110,325,10,10.0,0
5331754,5332754,1000,110,120,325,10,10.0,0
5332754,5333754,1000,120,130,325,10,10.0,0
5333754,5334754,1000,130,140,325,10,10.0,0
5334754,5335754,1000,140,150,325,10,10.0,0
5335754,5336754,1000,150,160,325,10,10.0,0
5336754,5337754,1000,160,170,325,10,10.0,0
5337754,5338754,1000,170,180,325,10,10.0,0
5338754,5339754,1000,180,190,325,10,10.0,0
5339754,5340754,1000,190,200,325,10,10.0,0
5340754,5341754,1000,200,210,325,10,10.0,0
5341754,5342754,1000,210,220,325,10,10.0,0
5342754,5343754,1000,220,230,325,10,10.0,0
5343754,5344754,1000,230,240,325,10,10.0,0
5344754,5345754,1000,240,250,325,10,10.0,0
5345754,5346754,1000,250,260,325,10,10.0,0
